nombres,apellidos,especialidad,edad,telefono
Quevedo,Bravo,Endocrinologia ,25,4567890679
Gunna,Sepœlveda,Geriatria ,26,4567123456
Peso ,Mora,Hematologia y hemoterapia ,66,4656789457
Miley ,Tapia,Hidrologia m?dica ,61,4653451234
David ,Salazar,Infectologia ,60,4657345234
Harry ,Figueroa,Medicina aeroespacial,62,4569876321
SZA,romero,Cardiologia ,63,4651112233
Fifty ,çlvarez,Gastroenterologia ,64,4652233445
Billie ,vera,Endocrinologia ,21,4657778890
Dua ,Pizarro,Geriatria ,20,4657733422
Troye ,Carrasco,Hematologia y hemoterapia ,21,4651009822
Quevedo,Towers,Hidrologia m?dica ,21,4652233477
Gunna,Rodrigo,Infectologia ,22,4655566782
Peso ,Swift,Medicina aeroespacial,24,4653259876
Miley ,Bunny,Cirugia toracica,25,2345678912
David ,Cee,Neurocirugia,26,1234567849
Harry ,Armado,Angiologia y cirugia vascular,66,2345678903
SZA,Campos,Dermatologia m?dico-quirœrgica y venereologia,61,4567890375
Fifty ,Martinez,Obstetricia y ginecologia,60,4567890167
Billie ,pluma,Oftalmologia,62,4567890679
Dua ,Cyrus,Otorrinolaringologia,63,4567123456
Troye ,Kushner,Urologia,64,4656789457
Karol ,Lipa,Analisis clinicos,65,4653451234
Big,Eilish,Anatomia patologica,67,4657345234
 Liam,Lipa,Bioquimica clinica,67,4569876321
emma,Sivan,Farmacologia clinica,68,4651112233
No?,G,Cardiologia ,69,4652233445
Olivia,One,Gastroenterologia ,23,4657778890
Guillermo,Frontera,Endocrinologia ,23,4657733422
ava,Towers,Geriatria ,44,4651009822
Jaime,Rodrigo,Hematologia y hemoterapia ,45,4652233477
Isabela,Swift,Hidrologia m?dica ,65,4655566782
oliver,Bunny,Infectologia ,24,4653259876
Sofia,Cee,Medicina espacial,23,2345678912
Benjamin,Armado,Medicina intensiva,23,1234567849
Dana,Campos,Alergologia,22,2345678903
Elias,Martinez,Anestesiologia y reanimacion,44,4567890375
charlotte,pluma,Aparato digestivo,23,4567890167
lucas,Cyrus,Cardiologia,23,4567890679
amelia,Kushner,Endocrinologia y nutricion,31,4567123456
Enrique,Lipa,Geriatria,32,4656789457
harper,Hinojosa,Hematologia y hemoterapia,33,4653451234
Alejandro,Towers,Medicina de la educacion fisica y del deporte,34,4657345234
evelyn,Rodrigo,Medicina espacial,35,4569876321
Samuel,Swift,Medicina intensiva,36,4651112233
abigail,Bunny,Medicina interna,37,4652233445
Daniel,Cee,Medicina legal y forense,38,4657778890
emily,Armado,Medicina preventiva y salud pœblica,39,4657733422
Mateo,Campos,Medicina del trabajo,24,4651009822
Isabel,Martinez,Nefrologia,25,4652233477
Joseph,pluma,Neumologia,26,4655566782
Sofia,Cyrus,Neurologia,66,4653259876
jackson,Kushner,Neurofisiologia Clinica,61,2345678912
avery,Styles,Oncologia m?dica,60,1234567849
David,Medina,Oncologia radioterapica,62,2345678903
ella,Fifty,Pediatria,63,4567890375
Miguel,Eilish,Psiquiatria,64,4567890167
escarlata,Lipa,Rehabilitacion,21,4567890679
isaac,Sivan,Reumatologia,45,4567123456
Gracia,G,Medicina familiar y comunitaria,34,4656789457
jacob,Vera,Cirugia cardiovascular,32,4653451234
